Material No,Price,BQ No,Quantity
427STP900S,"19,915.00",2154,2086
435SRY971S,"18,541.00",2485,2466
51GE2405HS,"22,362.00",2003,2003
451SCC841S,"27,071.00",2130,2130
451MA7405S,"16,969.00",2020,2020
55GCR016HS,"23,815.00",2159,2134
455SCC841S,"21,048.00","6,320","6,200"
455SVE861S,"18,063.00",2103,2103
455SVT911S,"27,046.00",2064,2057
70HH198001,"28,988.00",2007,2001
70HH198002,"23,937.00",2031,2021
70HH198003,"25,370.00",2002,2002
70HH198004,"23,578.00",2006,2001
70HH198006,"10,938.00",2030,2000
70HH198007,"29,748.00",2004,2001
70HH198011,"14,667.00",2020,2020
70HH198029,"12,509.00",2002,2002
70HH198035,"27,508.00",2040,2000
70HHSFN002,"14,742.00",2007,2001
70HHSFN022,"23,746.00",2020,2000
0HHSRYH001,"21,768.00",2002,2000
70HHSST001,"17,562.00",2001,2001
70HHSTC001,"24,399.00",2040,2020
70HHSTC002,"20,169.00",2003,2003
70HHSTC003,"13,459.00",2013,2002
70HHSTC004,"29,099.00",2012,2001
70HHSTC008,"20,510.00",2020,2000
70HHSTN001,"21,441.00",2006,2000
70HHSTN004,"10,349.00",2005,2000
70HHSTN005,"12,442.00",2005,2000
70HHSTN006,"15,528.00",2005,2000
70HHSTN007,"20,895.00",2005,2000
70HHSTN008,"22,596.00",2020,2000
070HHSTP01,"19,543.00",2001,2000
070HHSTP02,"19,209.00",2001,2000
070HHSTP03,"28,889.00",2001,2000
070HHSTP04,"29,559.00",2001,2000
070HHSTP05,"29,013.00",2001,2000
070HHSTP06,"28,446.00",2001,2000
070HHSTP07,"17,895.00",2001,2000
070HHSTP08,"19,078.00",2001,2000
070HHSTP09,"28,631.00",2001,2000
070HHSTP10,"25,594.00",2001,2000
070HHSTP11,"11,296.00",2002,2001
070HHSTP12,"11,100.00",2001,2000
070HHSTP13,"10,290.00",2001,2000
070HHSTP14,"28,712.00",2001,2000
070HHSTP15,"16,783.00",2001,2000
070HHSTP16,"27,061.00",2001,2000
070HHSTP17,"14,140.00",2002,2001
070HHSTP18,"14,204.00",2001,2000
070HHSTP19,"24,201.00",2001,2000
70HHSTR001,"20,654.00",2020,2000
70HHSZJ001,"17,814.00",2005,2005
70HHSZJ002,"10,720.00",2005,2005
70HHSZJ003,"29,726.00",2005,2005
70HHSZJ004,"12,108.00",2005,2005
70HHSZJ005,"20,183.00",2005,2005
70HHSZJ006,"29,746.00",2005,2005
70HHSZJ007,"24,567.00",2005,2005
70HHSZJ008,"10,110.00",2005,2005
70HHSZJ009,"14,915.00",2005,2005
70HHSZJ010,"27,298.00",2006,2006
70HHSZJ011,"21,291.00",2019,2019
70HHSZJ012,"25,406.00",2018,2018
100198900S,"12,074.00",2036,2023
100SRC921S,"17,938.00",2002,2002
100SRY900S,"24,245.00",2003,2003
100SRY960S,"24,142.00",2005,2005
100STC921S,"17,820.00",2006,2003
100STCA20S,"20,059.00",2039,2031
100STP900S,"11,018.00",2123,2089
100STR940S,"24,376.00",2005,2005
100SVE900S,"12,473.00",2006,2006
100SVE910S,"17,269.00",2002,2002
100SWA900S,"14,679.00",2002,2002
