,location
197,True
14,True
115,True
122,False
53,False
96,True
89,True
157,True
199,True
10,False
114,False
155,True
120,True
153,False
198,False
18,True
94,False
17,True
138,False
164,True
35,False
105,True
169,True
177,True
166,False
108,False
11,False
73,False
143,False
102,True
40,True
67,False
183,False
62,False
87,False
156,False
76,False
97,False
193,False
136,False
51,False
147,True
172,False
152,False
174,True
171,False
30,False
131,False
42,True
201,False
